,index,Rating,Player,mu,sigma,skills_threesigma,Player Name,Player DOB
0,1971-08-21Robert Harvey,"trueskill.Rating(mu=21.544, sigma=6.042)",1971-08-21Robert Harvey,21.54407702176322,6.041665941711487,3.4190791966287577,Robert Harvey,1971-08-21
1,1972-07-26Nathan Buckley,"trueskill.Rating(mu=25.308, sigma=7.276)",1972-07-26Nathan Buckley,25.307549546724502,7.275603042938128,3.48074041791012,Nathan Buckley,1972-07-26
2,1972-10-05Justin Peckett,"trueskill.Rating(mu=28.061, sigma=7.556)",1972-10-05Justin Peckett,28.060871572976115,7.555718398683723,5.393716376924946,Justin Peckett,1972-10-05
3,1972-10-21Andrew Thompson,"trueskill.Rating(mu=25.319, sigma=7.431)",1972-10-21Andrew Thompson,25.319448113300936,7.431253690839588,3.0256870407821737,Andrew Thompson,1972-10-21
4,1972-12-13Chris Grant,"trueskill.Rating(mu=26.839, sigma=6.993)",1972-12-13Chris Grant,26.839050862784646,6.993015551385753,5.860004208627387,Chris Grant,1972-12-13
5,1972-12-17Peter Riccardi,"trueskill.Rating(mu=22.506, sigma=8.089)",1972-12-17Peter Riccardi,22.506453790682848,8.08927512440149,-1.761371582521626,Peter Riccardi,1972-12-17
6,1973-01-18Anthony Koutoufides,"trueskill.Rating(mu=20.973, sigma=7.331)",1973-01-18Anthony Koutoufides,20.97260614237515,7.330870840403842,-1.0200063788363778,Anthony Koutoufides,1973-01-18
7,1973-02-04James Hird,"trueskill.Rating(mu=26.175, sigma=7.111)",1973-02-04James Hird,26.174628474095194,7.111244414783978,4.840895229743261,James Hird,1973-02-04
8,1973-02-18Shane Parker,"trueskill.Rating(mu=24.671, sigma=6.587)",1973-02-18Shane Parker,24.670901178616653,6.587119042321389,4.909544051652489,Shane Parker,1973-02-18
9,1973-03-24Glenn Archer,"trueskill.Rating(mu=23.943, sigma=6.556)",1973-03-24Glenn Archer,23.94277393301602,6.556043036904027,4.274644822303941,Glenn Archer,1973-03-24
10,1973-04-03Paul Williams,"trueskill.Rating(mu=26.548, sigma=7.851)",1973-04-03Paul Williams,26.54819775966166,7.850884645616965,2.9955438228107667,Paul Williams,1973-04-03
11,1973-05-31Rohan Smith,"trueskill.Rating(mu=26.053, sigma=7.467)",1973-05-31Rohan Smith,26.052526968703404,7.467045266786931,3.651391168342613,Rohan Smith,1973-05-31
12,1973-06-01Brett Montgomery,"trueskill.Rating(mu=24.664, sigma=7.692)",1973-06-01Brett Montgomery,24.664089113838262,7.692389419000231,1.586920856837569,Brett Montgomery,1973-06-01
13,1973-06-18Gavin Wanganeen,"trueskill.Rating(mu=24.256, sigma=8.297)",1973-06-18Gavin Wanganeen,24.255692436683358,8.296826638287634,-0.6347874781795433,Gavin Wanganeen,1973-06-18
14,1973-09-18Matthew Clarke,"trueskill.Rating(mu=20.348, sigma=7.616)",1973-09-18Matthew Clarke,20.347775464548175,7.616143036593969,-2.500653645233733,Matthew Clarke,1973-09-18
15,1973-11-20Saverio Rocca,"trueskill.Rating(mu=23.523, sigma=7.774)",1973-11-20Saverio Rocca,23.52348463861907,7.773986895878621,0.20152395098320852,Saverio Rocca,1973-11-20
16,1974-02-27Drew Banfield,"trueskill.Rating(mu=27.845, sigma=7.589)",1974-02-27Drew Banfield,27.844925144866103,7.588750939447425,5.078672326523829,Drew Banfield,1974-02-27
17,1974-05-03Peter Everitt,"trueskill.Rating(mu=19.832, sigma=7.061)",1974-05-03Peter Everitt,19.8320212833617,7.060942921716504,-1.350807481787811,Peter Everitt,1974-05-03
18,1974-07-09Ben Hart,"trueskill.Rating(mu=24.465, sigma=7.815)",1974-07-09Ben Hart,24.46503255186296,7.814570638641379,1.0213206359388245,Ben Hart,1974-07-09
